competition, planner, domain, pn, steps, time
IPC2002, MIPS, DriverLog, DLOG-2-2-24, 40, 880
IPC2002, MIPS, DriverLog, DLOG-2-2-25, 42, 2040
IPC2002, MIPS.plain, DriverLog, DLOG-2-2-2, 7, 29
IPC2002, MIPS.plain, DriverLog, DLOG-2-2-3, 22, 40
IPC2002, MIPS.plain, DriverLog, DLOG-2-2-4, 18, 40
IPC2002, MIPS.plain, DriverLog, DLOG-3-2-4, 19, 50
IPC2002, MIPS.plain, DriverLog, DLOG-3-2-5, 27, 59
IPC2002, MIPS.plain, DriverLog, DLOG-3-3-5, 13, 59
IPC2002, MIPS.plain, DriverLog, DLOG-3-3-6, 15, 100
IPC2002, MIPS.plain, DriverLog, DLOG-3-3-7, 27, 390
IPC2002, MIPS.plain, DriverLog, DLOG-2-3-6, 22, 119
IPC2002, MIPS.plain, DriverLog, DLOG-2-2-20, 21, 309
IPC2002, MIPS.plain, DriverLog, DLOG-2-2-21, 22, 179
IPC2002, MIPS.plain, DriverLog, DLOG-2-2-22, 42, 1780
IPC2002, MIPS.plain, DriverLog, DLOG-2-2-23, 36, 760
IPC2002, MIPS.plain, DriverLog, DLOG-2-2-24, 40, 1389
IPC2002, MIPS.plain, DriverLog, DLOG-2-2-25, 42, 13259
IPC2002, SHOP2, DriverLog, DLOG-2-2-2, 7, 0
IPC2002, SHOP2, DriverLog, DLOG-2-2-3, 23, 10
IPC2002, SHOP2, DriverLog, DLOG-2-2-4, 25, 10
IPC2002, SHOP2, DriverLog, DLOG-3-2-4, 27, 10
IPC2002, SHOP2, DriverLog, DLOG-3-2-5, 22, 10
IPC2002, SHOP2, DriverLog, DLOG-3-3-5, 16, 10
IPC2002, SHOP2, DriverLog, DLOG-3-3-6, 18, 10
IPC2002, SHOP2, DriverLog, DLOG-3-3-7, 33, 30
IPC2002, SHOP2, DriverLog, DLOG-2-3-6, 32, 20
IPC2002, SHOP2, DriverLog, DLOG-2-2-20, 26, 10
IPC2002, SHOP2, DriverLog, DLOG-2-2-21, 29, 20
IPC2002, SHOP2, DriverLog, DLOG-2-2-22, 56, 40
IPC2002, SHOP2, DriverLog, DLOG-2-2-23, 48, 20
IPC2002, SHOP2, DriverLog, DLOG-2-2-24, 51, 30
IPC2002, SHOP2, DriverLog, DLOG-2-2-25, 58, 40
IPC2002, SHOP2, DriverLog, DLOG-2-2-26, 116, 140
IPC2002, SHOP2, DriverLog, DLOG-2-2-27, 122, 170
IPC2002, SHOP2, DriverLog, DLOG-2-2-28, 138, 220
IPC2002, SHOP2, DriverLog, DLOG-2-2-29, 186, 420
IPC2002, SHOP2, DriverLog, DLOG-2-2-30, 170, 350
IPC2002, SemSyn, DriverLog, DLOG-2-2-2, 7, 88
IPC2002, Simplanner, DriverLog, DLOG-2-2-2, 8, 0
IPC2002, Simplanner, DriverLog, DLOG-2-2-3, 32, 239
IPC2002, Simplanner, DriverLog, DLOG-2-2-4, 12, 100
